Company Name,Type of Company,Year of Establishment,Registration Number,GST Number,PAN Number,Head Office District,Contact Number,Official Email,Website,Branch Office Locations,Owner / MD Name,Key Decision Maker,Total Employees,Organizational Structure,Board of Directors,Nature of Business,Core Specialization,Service Areas,Years of Experience,Avg Projects Per Year,Avg Annual Turnover (Rs.),Net Worth (Rs.),Financial Stability,Financial Commitments,Total Engineers,Total Technical Staff,Major Machinery,Equipment Capacity,Total Projects Completed,Blacklisting History,Legal Disputes,ISO Certification,Safety Compliance,Environmental Compliance,Labour Law Compliance
Square Infra Solutions 756,Pvt Ltd,1997,LZXY9KDYJ9,1FPRPH1ONSUSUQ0,EYP7SH7SF8,Coimbatore,9675495516,squareinfrasolutions756@example.com,www.squareinfra756.com,Karur,Owner 756,MD 756,88,Hierarchical,"Director A756, Director B756",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,30,4,50828067,22224141,Moderate,37188603,78,63,"Excavators, Cranes, Concrete Mixers",High,112,Yes,Yes,ISO 14001,High,Non-Compliant,Non-Compliant
Square Infra Solutions 757,Pvt Ltd,2020,TTQL3Q5V3L,TZBK5J6H1YT7ZE9,F42638O1O0,Salem,9055541401,squareinfrasolutions757@example.com,www.squareinfra757.com,Dharmapuri,Owner 757,MD 757,400,Hierarchical,"Director A757, Director B757",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,19,13,96688215,156913279,At Risk,8932095,32,83,"Excavators, Cranes, Concrete Mixers",Low,145,Yes,No,Multiple,Low,Partial,Non-Compliant
Square Infra Solutions 758,Proprietorship,2006,ESI2SMYH2C,2FYI3YWMIO2NNGC,EY4IDCL4XW,Salem,9532146556,squareinfrasolutions758@example.com,www.squareinfra758.com,Pudukkottai,Owner 758,MD 758,85,Hierarchical,"Director A758, Director B758",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,24,5,462882010,150763774,Stable,48433206,72,69,"Excavators, Cranes, Concrete Mixers",Low,214,No,Yes,ISO 45001,High,Partial,Non-Compliant
Square Infra Solutions 759,Partnership,2006,E4FYUAMWGW,KRHYCEH7IOYQ489,ANVZFXEWB1,Ariyalur,9437103830,squareinfrasolutions759@example.com,www.squareinfra759.com,Thanjavur,Owner 759,MD 759,363,Hierarchical,"Director A759, Director B759",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,28,16,111518113,141501920,Moderate,3768759,86,25,"Excavators, Cranes, Concrete Mixers",Medium,115,No,No,Not Certified,Low,Compliant,Compliant
Square Infra Solutions 760,Pvt Ltd,1996,BIUW92ZSVO,ADIAQLH4A4GJYX1,UJ48NLNDSR,Thoothukudi,9108457500,squareinfrasolutions760@example.com,www.squareinfra760.com,Dharmapuri,Owner 760,MD 760,260,Hierarchical,"Director A760, Director B760",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,25,21,310828712,177651161,Stable,48141747,22,83,"Excavators, Cranes, Concrete Mixers",Medium,287,Yes,No,Not Certified,Low,Partial,Compliant
Square Infra Solutions 761,Pvt Ltd,2019,1RSS1NERSH,TKOBJD8P9YFGVG6,H5T9PKKS3O,Tiruvannamalai,9986576518,squareinfrasolutions761@example.com,www.squareinfra761.com,Kancheepuram,Owner 761,MD 761,408,Hierarchical,"Director A761, Director B761",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,21,18,46861285,238520948,At Risk,40665188,11,189,"Excavators, Cranes, Concrete Mixers",Low,269,Yes,Yes,ISO 14001,Low,Non-Compliant,Non-Compliant
Square Infra Solutions 762,Pvt Ltd,2012,3Z43J44SH6,9JL8A5HIC7M6D9M,MSWT99MXM4,Nilgiris,9052859576,squareinfrasolutions762@example.com,www.squareinfra762.com,Pudukkottai,Owner 762,MD 762,413,Hierarchical,"Director A762, Director B762",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,28,15,114185535,81168964,Stable,25963122,6,181,"Excavators, Cranes, Concrete Mixers",High,131,Yes,Yes,Not Certified,High,Partial,Compliant
Square Infra Solutions 763,Partnership,2007,KBDUN1PPS3,SEO7SBL9YWHVO5P,QLPYVHIUW4,Tirunelveli,9431583829,squareinfrasolutions763@example.com,www.squareinfra763.com,Chengalpattu,Owner 763,MD 763,232,Hierarchical,"Director A763, Director B763",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,18,17,11030070,238212073,Moderate,3732493,9,79,"Excavators, Cranes, Concrete Mixers",Medium,239,Yes,Yes,ISO 14001,Low,Compliant,Compliant
Square Infra Solutions 764,Partnership,2004,ENVIFWCWQB,A37BAY5J9BN35ES,DKFDAEBAR3,Tiruvallur,9577824293,squareinfrasolutions764@example.com,www.squareinfra764.com,Krishnagiri,Owner 764,MD 764,104,Hierarchical,"Director A764, Director B764",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,2,25,326541333,106291492,Moderate,29022092,69,77,"Excavators, Cranes, Concrete Mixers",High,219,Yes,No,Not Certified,Low,Compliant,Partial
Square Infra Solutions 765,Proprietorship,2022,SQBZ5VFBCT,5T0U7EZ0VYD28GO,0TL2T9MWG4,Tiruvallur,9636798522,squareinfrasolutions765@example.com,www.squareinfra765.com,Vellore,Owner 765,MD 765,300,Hierarchical,"Director A765, Director B765",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,11,11,49446728,107507921,At Risk,48808666,72,27,"Excavators, Cranes, Concrete Mixers",Medium,101,No,Yes,ISO 9001,Low,Non-Compliant,Partial
Square Infra Solutions 766,Pvt Ltd,2000,5LLMDSLYRR,3HWSMUC0DQVCV1K,KSDYMECYVF,Tirupathur,9052565714,squareinfrasolutions766@example.com,www.squareinfra766.com,Kanniyakumari,Owner 766,MD 766,416,Hierarchical,"Director A766, Director B766",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,9,20,28940937,91925895,Moderate,45808837,70,196,"Excavators, Cranes, Concrete Mixers",Medium,215,No,Yes,ISO 9001,High,Non-Compliant,Non-Compliant
Square Infra Solutions 767,Proprietorship,2021,XRXKYEELSD,Z1ZPG6B7FP1UHDW,XTXVUEKPC9,Ranipet,9586126545,squareinfrasolutions767@example.com,www.squareinfra767.com,Chengalpattu,Owner 767,MD 767,211,Hierarchical,"Director A767, Director B767",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,21,5,23494701,87343335,At Risk,42452603,22,198,"Excavators, Cranes, Concrete Mixers",Medium,169,Yes,No,ISO 9001,High,Compliant,Compliant
Square Infra Solutions 768,Ltd,1997,E8G4TBWUKA,262MZ45OBRKW3O2,YV30AAYWTK,Pudukkottai,9756504912,squareinfrasolutions768@example.com,www.squareinfra768.com,Cuddalore,Owner 768,MD 768,132,Hierarchical,"Director A768, Director B768",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,1,16,219179576,213397318,At Risk,43269785,18,122,"Excavators, Cranes, Concrete Mixers",Medium,201,Yes,No,ISO 9001,Low,Compliant,Partial
Square Infra Solutions 769,Proprietorship,1997,N1NSVJ3PI3,2K3V3WXYIPJ6AOE,IRGDIFM8XI,Ariyalur,9238245318,squareinfrasolutions769@example.com,www.squareinfra769.com,Tenkasi,Owner 769,MD 769,107,Hierarchical,"Director A769, Director B769",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,3,19,408165712,239050005,Stable,25357957,68,73,"Excavators, Cranes, Concrete Mixers",Low,206,Yes,No,ISO 14001,Medium,Compliant,Compliant
Square Infra Solutions 770,Proprietorship,2016,P9DUFH8GHO,AY9RP4F5S5I6OM4,CRQE125XW5,Kancheepuram,9576367861,squareinfrasolutions770@example.com,www.squareinfra770.com,Krishnagiri,Owner 770,MD 770,80,Hierarchical,"Director A770, Director B770",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,6,19,332122609,204856858,Moderate,25580576,45,138,"Excavators, Cranes, Concrete Mixers",Medium,134,No,No,ISO 14001,High,Non-Compliant,Partial
Square Infra Solutions 771,Ltd,2008,PK9H1UG1QH,GOX6VYNEX0LJ9CH,SLH2HX3BZE,Namakkal,9076405919,squareinfrasolutions771@example.com,www.squareinfra771.com,Vellore,Owner 771,MD 771,337,Hierarchical,"Director A771, Director B771",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,28,22,242124596,83123634,At Risk,24447094,57,87,"Excavators, Cranes, Concrete Mixers",Low,166,No,No,Multiple,Medium,Partial,Compliant
Square Infra Solutions 772,Partnership,2007,EWA7T2JMMG,WMM5ILZQGHD6ZA4,7YBJ38KL15,Kancheepuram,9161918071,squareinfrasolutions772@example.com,www.squareinfra772.com,Tiruvarur,Owner 772,MD 772,115,Hierarchical,"Director A772, Director B772",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,6,14,50209572,99508816,Moderate,11019896,65,64,"Excavators, Cranes, Concrete Mixers",Low,255,Yes,No,Not Certified,Low,Partial,Partial
Square Infra Solutions 773,Partnership,2005,H8RNDIEM11,RV803VALWGZZK2H,UMGM30MTEM,Kanniyakumari,9872733522,squareinfrasolutions773@example.com,www.squareinfra773.com,Erode,Owner 773,MD 773,69,Hierarchical,"Director A773, Director B773",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,14,4,49418389,282421311,Moderate,18111837,45,73,"Excavators, Cranes, Concrete Mixers",High,291,Yes,No,Multiple,Medium,Compliant,Partial
Square Infra Solutions 774,Ltd,2021,2OQD2T8MX8,S1RRZNBPT0C3YWX,ZC0TNCM9SD,Theni,9984804773,squareinfrasolutions774@example.com,www.squareinfra774.com,Thanjavur,Owner 774,MD 774,25,Hierarchical,"Director A774, Director B774",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,1,10,296842073,112210426,Moderate,18926296,60,115,"Excavators, Cranes, Concrete Mixers",Medium,203,Yes,No,ISO 14001,High,Non-Compliant,Partial
Square Infra Solutions 775,Pvt Ltd,1998,F2IJZK2PWX,1QRDBK4E0Z9JVOI,2HJ543MY0M,Salem,9738610792,squareinfrasolutions775@example.com,www.squareinfra775.com,Chennai,Owner 775,MD 775,428,Hierarchical,"Director A775, Director B775",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,19,7,114026653,13442230,At Risk,16823069,63,82,"Excavators, Cranes, Concrete Mixers",High,112,Yes,Yes,ISO 9001,Low,Non-Compliant,Non-Compliant
Square Infra Solutions 776,Ltd,2021,J6T1E6YGJE,TVRH3J92DJBGLEX,9UUBF3I2VK,Karur,9334533237,squareinfrasolutions776@example.com,www.squareinfra776.com,Chennai,Owner 776,MD 776,71,Hierarchical,"Director A776, Director B776",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,1,3,273986472,57518756,Moderate,19148165,79,113,"Excavators, Cranes, Concrete Mixers",High,137,Yes,Yes,ISO 9001,Low,Partial,Partial
Square Infra Solutions 777,Pvt Ltd,2009,FM1EOJ1QC6,EGR94EZOZLNDCD4,W0DGQR7Y7C,Dindigul,9886794811,squareinfrasolutions777@example.com,www.squareinfra777.com,Ranipet,Owner 777,MD 777,343,Hierarchical,"Director A777, Director B777",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,21,3,269797477,200118375,Moderate,19865193,79,200,"Excavators, Cranes, Concrete Mixers",Low,229,Yes,No,Not Certified,High,Partial,Compliant
Square Infra Solutions 778,Ltd,1998,A6NVU51B4G,JZTO55HPQHA2EZK,W928HZCZ75,Salem,9564428258,squareinfrasolutions778@example.com,www.squareinfra778.com,Ariyalur,Owner 778,MD 778,20,Hierarchical,"Director A778, Director B778",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,15,20,473207311,255075147,At Risk,30431229,26,135,"Excavators, Cranes, Concrete Mixers",Medium,66,No,No,ISO 45001,High,Non-Compliant,Non-Compliant
Square Infra Solutions 779,Pvt Ltd,2019,K7XPV7OOLP,D39RJKSJUK63OMM,X07S6NZOUN,Tiruchirappalli,9234967129,squareinfrasolutions779@example.com,www.squareinfra779.com,Cuddalore,Owner 779,MD 779,238,Hierarchical,"Director A779, Director B779",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,17,9,274774335,94962639,At Risk,47335904,57,135,"Excavators, Cranes, Concrete Mixers",Low,35,Yes,Yes,ISO 9001,High,Non-Compliant,Compliant
Square Infra Solutions 780,Pvt Ltd,1999,K0RRH40F1R,SP47F1CVAW4OS9Y,BEL57TCCLU,Mayiladuthurai,9727758266,squareinfrasolutions780@example.com,www.squareinfra780.com,Tiruvallur,Owner 780,MD 780,39,Hierarchical,"Director A780, Director B780",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,16,13,289639548,35789736,Moderate,39527295,74,57,"Excavators, Cranes, Concrete Mixers",Low,291,Yes,Yes,ISO 14001,Low,Compliant,Partial
Square Infra Solutions 781,Ltd,1997,88AOKGU5EE,5IMNJ0JQCCURT29,ZAC7DUVTDA,Kallakurichi,9277617521,squareinfrasolutions781@example.com,www.squareinfra781.com,Tiruvarur,Owner 781,MD 781,139,Hierarchical,"Director A781, Director B781",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,23,4,354492759,68250262,At Risk,39633769,70,85,"Excavators, Cranes, Concrete Mixers",High,103,Yes,No,ISO 14001,Medium,Partial,Compliant
Square Infra Solutions 782,Proprietorship,2020,2X8UFM80LR,DRGBN7VQ1N7VXJX,N0PUPW0T85,Sivaganga,9839448074,squareinfrasolutions782@example.com,www.squareinfra782.com,Madurai,Owner 782,MD 782,64,Hierarchical,"Director A782, Director B782",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,14,13,87534794,226157847,Moderate,42429904,76,42,"Excavators, Cranes, Concrete Mixers",Medium,114,No,Yes,ISO 45001,Medium,Partial,Partial
Square Infra Solutions 783,Partnership,2004,ALPJDQ421X,Z4KAFETK6X4MECV,OCJXQYNRTT,Madurai,9251741375,squareinfrasolutions783@example.com,www.squareinfra783.com,Tiruvallur,Owner 783,MD 783,223,Hierarchical,"Director A783, Director B783",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,22,9,483048504,77769997,Stable,25164954,55,133,"Excavators, Cranes, Concrete Mixers",Low,283,No,No,ISO 45001,High,Non-Compliant,Compliant
Square Infra Solutions 784,Pvt Ltd,2013,A5SN3OM8RA,P4NPS03EQ7Q50RC,RNCBW2QBD2,Theni,9360972807,squareinfrasolutions784@example.com,www.squareinfra784.com,Nagapattinam,Owner 784,MD 784,255,Hierarchical,"Director A784, Director B784",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,4,22,451102726,280474599,Stable,10661190,22,130,"Excavators, Cranes, Concrete Mixers",High,203,Yes,No,Not Certified,Low,Partial,Compliant
Square Infra Solutions 785,Ltd,2010,JWGPSIVCKH,KWEHYPO6UE6Y2JP,VQR5KBCMQ6,Kanniyakumari,9090080839,squareinfrasolutions785@example.com,www.squareinfra785.com,Kanniyakumari,Owner 785,MD 785,440,Hierarchical,"Director A785, Director B785",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,19,5,180026615,31895450,Moderate,41311939,16,88,"Excavators, Cranes, Concrete Mixers",High,169,Yes,No,ISO 45001,High,Compliant,Partial
Square Infra Solutions 786,Pvt Ltd,2019,3FRX6JECK4,2ORGPL7G1CEKXLQ,BHX95K9V43,Tiruvallur,9998343138,squareinfrasolutions786@example.com,www.squareinfra786.com,Coimbatore,Owner 786,MD 786,495,Hierarchical,"Director A786, Director B786",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,29,18,484423042,37797201,Stable,32299559,42,39,"Excavators, Cranes, Concrete Mixers",Low,54,Yes,Yes,ISO 45001,Medium,Non-Compliant,Compliant
Square Infra Solutions 787,Pvt Ltd,2003,WSM59CHC78,XOZXO9A2D03NUDD,CQDSN8FR2G,Nilgiris,9568994924,squareinfrasolutions787@example.com,www.squareinfra787.com,Dharmapuri,Owner 787,MD 787,177,Hierarchical,"Director A787, Director B787",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,12,21,160099087,211303962,At Risk,2191726,73,39,"Excavators, Cranes, Concrete Mixers",Low,7,No,Yes,ISO 45001,Medium,Compliant,Partial
Square Infra Solutions 788,Pvt Ltd,2019,ZSIWX90NGU,D4Y72JKO3OCBN1U,5YERPUO3K4,Erode,9647586484,squareinfrasolutions788@example.com,www.squareinfra788.com,Kancheepuram,Owner 788,MD 788,359,Hierarchical,"Director A788, Director B788",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,30,15,160132200,234451298,Stable,40949199,43,136,"Excavators, Cranes, Concrete Mixers",Medium,226,Yes,Yes,Not Certified,High,Partial,Compliant
Square Infra Solutions 789,Ltd,2016,IRNMJDN1JR,NMZHBDBYBIMQDIP,CC5FNM62LZ,Tiruchirappalli,9732712085,squareinfrasolutions789@example.com,www.squareinfra789.com,Virudhunagar,Owner 789,MD 789,69,Hierarchical,"Director A789, Director B789",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,3,24,144451069,7996217,At Risk,11461199,93,63,"Excavators, Cranes, Concrete Mixers",Low,45,Yes,Yes,Not Certified,High,Non-Compliant,Compliant
Square Infra Solutions 790,Ltd,2020,2RV4GFWEGN,PLMQ98RMHTUWM0Y,G4H0D19V3I,Pudukkottai,9943209162,squareinfrasolutions790@example.com,www.squareinfra790.com,Sivaganga,Owner 790,MD 790,343,Hierarchical,"Director A790, Director B790",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,19,9,384960351,66415062,Moderate,18452871,18,188,"Excavators, Cranes, Concrete Mixers",Medium,144,No,No,Not Certified,Medium,Non-Compliant,Partial
Square Infra Solutions 791,Proprietorship,2007,CPN73VWRL3,5ZMAZA72RU8W45D,SRUDOOTOVB,Coimbatore,9935758335,squareinfrasolutions791@example.com,www.squareinfra791.com,Chennai,Owner 791,MD 791,400,Hierarchical,"Director A791, Director B791",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,11,2,352932449,139783760,Moderate,40058084,80,187,"Excavators, Cranes, Concrete Mixers",Medium,299,No,No,Not Certified,High,Non-Compliant,Compliant
Square Infra Solutions 792,Partnership,2006,5WW5890VJ3,641NOZ2HR5XAM3Q,2QMED3HSOQ,Tiruppur,9115214200,squareinfrasolutions792@example.com,www.squareinfra792.com,Thoothukudi,Owner 792,MD 792,424,Hierarchical,"Director A792, Director B792",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,25,15,191923653,85472701,Stable,21385678,39,153,"Excavators, Cranes, Concrete Mixers",High,188,No,Yes,ISO 14001,Medium,Non-Compliant,Partial
Square Infra Solutions 793,Ltd,1997,TWSCNGVGV1,S4F6EYDCDQTRN2W,NMUKM37V6D,Kancheepuram,9062020361,squareinfrasolutions793@example.com,www.squareinfra793.com,Kancheepuram,Owner 793,MD 793,45,Hierarchical,"Director A793, Director B793",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,16,15,391446089,221849840,Moderate,9213884,77,86,"Excavators, Cranes, Concrete Mixers",Medium,289,No,Yes,ISO 9001,High,Partial,Non-Compliant
Square Infra Solutions 794,Proprietorship,2006,5B17DWZ1UH,CJNTUI6ESH8FCRF,073M4SI1JX,Tiruchirappalli,9528086656,squareinfrasolutions794@example.com,www.squareinfra794.com,Coimbatore,Owner 794,MD 794,83,Hierarchical,"Director A794, Director B794",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,15,18,371231758,3257822,Stable,9339500,59,190,"Excavators, Cranes, Concrete Mixers",Low,220,Yes,No,Not Certified,High,Compliant,Compliant
Square Infra Solutions 795,Partnership,2003,YHAI3HE82K,PBN9YF0Z8KARAO8,C0NYREPQ6V,Kanniyakumari,9013790599,squareinfrasolutions795@example.com,www.squareinfra795.com,Tiruvarur,Owner 795,MD 795,189,Hierarchical,"Director A795, Director B795",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,15,21,247975088,82864092,Stable,25243580,93,83,"Excavators, Cranes, Concrete Mixers",Low,87,No,No,ISO 45001,Medium,Compliant,Partial
Square Infra Solutions 796,Ltd,2006,2Y19PNX9FM,5X29RQ8Z398UG15,B8R0M8IVSO,Ranipet,9952861230,squareinfrasolutions796@example.com,www.squareinfra796.com,Sivaganga,Owner 796,MD 796,309,Hierarchical,"Director A796, Director B796",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,4,13,168317803,98591226,Stable,39659402,31,129,"Excavators, Cranes, Concrete Mixers",Medium,287,Yes,Yes,Not Certified,High,Compliant,Partial
Square Infra Solutions 797,Partnership,1996,Z7GL7DF68Y,FHX21UGVQM3ZZ55,4R77BLCYN7,Madurai,9128742885,squareinfrasolutions797@example.com,www.squareinfra797.com,Tiruvannamalai,Owner 797,MD 797,101,Hierarchical,"Director A797, Director B797",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,3,10,37579016,117909557,Stable,27212463,59,157,"Excavators, Cranes, Concrete Mixers",High,166,No,No,Multiple,High,Compliant,Compliant
Square Infra Solutions 798,Proprietorship,2017,84JRDIR4EG,S5T5V44TKUHOC0N,UUGKHPWLI8,Tenkasi,9615734525,squareinfrasolutions798@example.com,www.squareinfra798.com,Chennai,Owner 798,MD 798,20,Hierarchical,"Director A798, Director B798",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,21,18,331041756,135934610,Moderate,22594921,84,55,"Excavators, Cranes, Concrete Mixers",Medium,109,No,No,Multiple,Low,Partial,Non-Compliant
Square Infra Solutions 799,Partnership,2002,1FR7E6PVKG,XH8XAKBQY8AZ26T,RX0M7UKO92,Theni,9190198598,squareinfrasolutions799@example.com,www.squareinfra799.com,Dharmapuri,Owner 799,MD 799,376,Hierarchical,"Director A799, Director B799",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,19,4,395226585,182925901,Stable,49880284,56,143,"Excavators, Cranes, Concrete Mixers",High,68,No,No,Not Certified,Medium,Non-Compliant,Partial
Square Infra Solutions 800,Partnership,2009,EAGVMZ9PS4,24JOOYZVX69XSNB,3HXZWAOPAD,Tiruvannamalai,9542414259,squareinfrasolutions800@example.com,www.squareinfra800.com,Perambalur,Owner 800,MD 800,205,Hierarchical,"Director A800, Director B800",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,24,5,78074217,88253179,Moderate,9687586,33,168,"Excavators, Cranes, Concrete Mixers",High,158,Yes,No,Not Certified,Medium,Partial,Compliant
Square Infra Solutions 801,Pvt Ltd,2021,E37KAO43SO,8ZFI6YSLFW7QF3S,TN9QKGQQK7,Erode,9552749486,squareinfrasolutions801@example.com,www.squareinfra801.com,Virudhunagar,Owner 801,MD 801,361,Hierarchical,"Director A801, Director B801",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,29,12,65159594,226286117,Stable,37799624,92,66,"Excavators, Cranes, Concrete Mixers",High,53,No,Yes,Not Certified,Low,Partial,Compliant
Square Infra Solutions 802,Proprietorship,1999,3RN6NSIRZ8,U7BRXE8KFRZKNPC,T3JVXHOPKJ,Virudhunagar,9546349290,squareinfrasolutions802@example.com,www.squareinfra802.com,Coimbatore,Owner 802,MD 802,496,Hierarchical,"Director A802, Director B802",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,11,2,52133835,184192229,At Risk,9799912,78,178,"Excavators, Cranes, Concrete Mixers",Medium,218,Yes,No,ISO 14001,Low,Partial,Non-Compliant
Square Infra Solutions 803,Partnership,2013,M2QW8D2M5C,SW3XNIGGUE8KC84,SVNB55V67I,Karur,9704563706,squareinfrasolutions803@example.com,www.squareinfra803.com,Cuddalore,Owner 803,MD 803,256,Hierarchical,"Director A803, Director B803",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,3,20,115952361,30318568,Stable,44079372,5,13,"Excavators, Cranes, Concrete Mixers",High,165,Yes,Yes,ISO 14001,Medium,Partial,Compliant
Square Infra Solutions 804,Ltd,2019,OO83K29VTL,7CRA4IIJKJ01QP9,MNRYLLH6ND,Tiruvannamalai,9143627943,squareinfrasolutions804@example.com,www.squareinfra804.com,Nagapattinam,Owner 804,MD 804,157,Hierarchical,"Director A804, Director B804",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,25,6,283627764,13643106,Moderate,10330442,49,159,"Excavators, Cranes, Concrete Mixers",Medium,132,No,Yes,ISO 14001,Medium,Partial,Non-Compliant
Square Infra Solutions 805,Partnership,2020,YHHXQYMZFI,RGIB8UXGPCULK9O,E2A0VPAGXQ,Thoothukudi,9776062381,squareinfrasolutions805@example.com,www.squareinfra805.com,Nagapattinam,Owner 805,MD 805,296,Hierarchical,"Director A805, Director B805",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,30,23,397866158,64961473,Moderate,2274174,66,50,"Excavators, Cranes, Concrete Mixers",Medium,44,Yes,No,ISO 45001,High,Partial,Non-Compliant
Square Infra Solutions 806,Proprietorship,2016,G4PBRQLNVE,5L9WJCKYBGTIOWJ,BVX8TM6H1U,Dharmapuri,9940209224,squareinfrasolutions806@example.com,www.squareinfra806.com,Tiruvannamalai,Owner 806,MD 806,412,Hierarchical,"Director A806, Director B806",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,4,3,119603512,291962801,Moderate,2549190,67,91,"Excavators, Cranes, Concrete Mixers",High,14,Yes,No,ISO 45001,Low,Partial,Compliant
Square Infra Solutions 807,Pvt Ltd,1997,V81I4C133P,J0ZJW8GSM4OUAHI,UB5LCNQ06P,Tirunelveli,9375102792,squareinfrasolutions807@example.com,www.squareinfra807.com,Kancheepuram,Owner 807,MD 807,263,Hierarchical,"Director A807, Director B807",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,10,21,337510224,26021157,Stable,10870449,79,136,"Excavators, Cranes, Concrete Mixers",High,109,No,No,Multiple,Medium,Partial,Compliant
Square Infra Solutions 808,Pvt Ltd,2014,ALJ1V3PK5M,ZBOETYRPHIVCZ3G,5NFLN703KT,Tenkasi,9322342875,squareinfrasolutions808@example.com,www.squareinfra808.com,Chengalpattu,Owner 808,MD 808,412,Hierarchical,"Director A808, Director B808",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,2,8,177926780,152718877,Stable,41636005,56,27,"Excavators, Cranes, Concrete Mixers",Medium,171,No,Yes,ISO 9001,Medium,Compliant,Non-Compliant
Square Infra Solutions 809,Ltd,2022,OBBWTQIIVM,OGI6H7630BEZO2Q,1VQU9HTTUS,Thanjavur,9354318634,squareinfrasolutions809@example.com,www.squareinfra809.com,Thanjavur,Owner 809,MD 809,18,Hierarchical,"Director A809, Director B809",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,3,24,334806400,25275459,Stable,30136729,66,188,"Excavators, Cranes, Concrete Mixers",Medium,93,Yes,Yes,ISO 14001,Low,Compliant,Compliant
Square Infra Solutions 810,Partnership,2005,0KHTN6KOG9,4HJR1INBAPP8WUI,DZ3DU0YBTL,Kanniyakumari,9726067937,squareinfrasolutions810@example.com,www.squareinfra810.com,Chennai,Owner 810,MD 810,348,Hierarchical,"Director A810, Director B810",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,17,13,36186068,57918020,Stable,38185925,17,77,"Excavators, Cranes, Concrete Mixers",High,246,Yes,No,ISO 14001,High,Non-Compliant,Non-Compliant
Square Infra Solutions 811,Proprietorship,1997,ELDVZ59MUY,OT5XDZJ1T5UK4XO,7U7GAAAMPJ,Ramanathapuram,9850693482,squareinfrasolutions811@example.com,www.squareinfra811.com,Ranipet,Owner 811,MD 811,390,Hierarchical,"Director A811, Director B811",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,24,8,30661973,48668735,Moderate,44203869,90,177,"Excavators, Cranes, Concrete Mixers",Low,118,Yes,No,Not Certified,Medium,Partial,Partial
Square Infra Solutions 812,Partnership,2021,MYLMPNX5AV,244ZBOXHU4QOWOE,7ZF1M2U3XK,Vellore,9540145382,squareinfrasolutions812@example.com,www.squareinfra812.com,Perambalur,Owner 812,MD 812,160,Hierarchical,"Director A812, Director B812",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,20,22,471188472,250079913,Moderate,13238579,77,79,"Excavators, Cranes, Concrete Mixers",Low,242,No,Yes,ISO 9001,Medium,Compliant,Compliant
